"semaine";"AMIENS";"ANGERS LA BAUMETTE";"ANGLET (PONT DE L'AVEUGLE No2)";"AQUAVARA";"AUXERRE - APPOIGNY";"BASTIA-SUD";"BESANCON - PORT-DOUVOT";"BONNEUIL-EN-FRANCE";"BORDEAUX (LOUIS FARGUE 2)";"CANNES";"CAP SICIE - AMPHITRIA";"CARCASSONNE NOUVELLE";"CARRE DE REUNION";"CHALON SUR SAONE-PORT BAROIS";"CLERMONT-FERRAND";"CRAN-GEVRIER - SILOE";"DIJON";"EVRY CENTRE-CAECE";"GRANDE-SYNTHE";"GRENOBLE / AQUAPOLE";"LA BAULE-ESCOUBLAC-GUERANDE LIVERY";"LA ROCHELLE";"LAGNY-SUR-MARNE ST THIBAULT-DES-VIGNES";"LE HAVRE";"LENS LOISON SOUS LENS";"LESCAR";"LILLE-MARQUETTE-LEZ-LILLE";"LIMOGES";"LMM_LE MANS - LA CHAUVINIERE";"LYON - SAINT FONS";"MAERA (EX CEREIREDE)";"MARSEILLE";"MAXEVILLE";"METZ";"MONDEVILLE";"NANTES 1-TOUGAS";"NICE-HALIOTIS";"NIMES";"ORLEANS LA CHAPELLE-SAINT-MESMIN";"PARIS MARNE AVAL";"PARIS SEINE-AMONT";"PARIS SEINE-CENTRE";"POITIERS LA FOLIE";"REIMS";"RENNES";"ROUBAIX-WATTRELOS";"ROUEN";"SAINT-BRIEUC LE LEGUE";"SAINT-ETIENNE - FURANIA";"SAUSHEIM";"STEU DE: BREST (ZONE-PORTUAIRE)";"STRASBOURG - LA WANTZENAU";"TOULOUSE GINESTOUS";"TOURS, LA RICHE LA GRANGE DAVID";"VALENCIENNES";"National_12";"National_54"
"2022-S30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10583,8063027704;NA;NA;NA;NA;NA;10158,894810171;NA;NA;NA;NA;NA;10887,7517167593;8286,45641193163;NA;NA;10510,7519595069;NA;NA;6253,11613798659;NA;NA;NA;NA;NA;8722,05121139608;NA;6961,65599764656;NA;NA;NA;NA;NA;NA;NA;NA;9634,37362977239;NA
"2022-S31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6214,70627109467;NA;NA;NA;NA;NA;5898,59845328708;NA;NA;NA;NA;NA;6410,58685873027;9238,71542733173;NA;NA;5633,75287596176;NA;NA;5604,42100580943;NA;NA;5051,98454993977;NA;NA;5398,47779736878;5201,7250938438;5175,51424056978;NA;NA;NA;NA;NA;NA;NA;NA;5925,51495598464;NA
"2022-S32";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4111,8535120937;NA;NA;NA;NA;NA;3726,60759001209;NA;NA;NA;NA;NA;4215,08012875498;7759,65730404191;NA;NA;3548,57524954898;NA;NA;5067,88583062168;NA;NA;NA;NA;NA;3706,78115724492;3619,15150579058;4015,3573631651;NA;NA;NA;NA;NA;NA;NA;NA;4283,03495540417;NA
"2022-S33";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3097,84683918867;NA;NA;NA;NA;NA;2617,52062854463;NA;NA;NA;NA;NA;3096,09502638352;6110,78405085856;NA;NA;2610,60055368243;NA;NA;4720,23211365359;NA;NA;3945,54972154106;NA;NA;2838,30436366821;NA;3320,81998864881;NA;NA;NA;NA;NA;NA;NA;NA;3465,43093107786;NA
"2022-S34";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2603,575784756;NA;NA;NA;NA;NA;1972,25229938398;NA;NA;NA;NA;NA;2552,13399100171;4601,88472362048;NA;NA;2232,54756029076;NA;NA;4492,56145041554;NA;NA;3785,91396267043;NA;NA;2425,05294311504;2523,50186603435;2854,77162049603;NA;NA;NA;NA;NA;NA;NA;NA;2942,04804671139;NA
"2022-S35";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2507,72922619043;NA;NA;NA;NA;NA;1665,31678183829;NA;NA;NA;NA;NA;2353,62559676466;3693,30057991179;NA;NA;2222,0392235482;NA;NA;4430,40245929205;NA;NA;3822,4914771773;NA;NA;2316,74879941092;2463,49913604461;2639,87185963075;NA;NA;NA;NA;NA;1466,17686483254;NA;NA;2608,25353446737;NA
"2022-S36";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3117,43575793572;NA;NA;NA;NA;NA;1799,57670901107;NA;NA;NA;NA;NA;2461,87595888475;4146,72616892524;NA;NA;2917,01324645195;NA;NA;4533,346080828;NA;NA;4193,94545279513;NA;NA;2582,05327694293;2627,4218905374;2855,47258904083;NA;NA;NA;NA;NA;2575,86954116364;NA;NA;3032,13733474115;NA
"2022-S37";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4335,6613841555;NA;NA;NA;NA;NA;2202,34959951224;NA;NA;NA;NA;NA;2838,11695201795;5121,3813679132;NA;NA;4135,4372849997;NA;NA;4983,06894458284;NA;NA;NA;NA;NA;3157,47507453746;3388,46256019214;3367,74130865856;NA;NA;NA;NA;NA;4108,61094574855;NA;NA;3682,20619266414;NA
"2022-S38";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6731,77612809115;NA;NA;NA;NA;NA;2943,78052327245;NA;NA;NA;NA;NA;3768,89925700815;7201,48197850626;NA;NA;5523,23304580445;NA;NA;7063,27873575668;NA;NA;5956,18305135736;NA;NA;4445,04227884116;4579,47558040772;4502,85374335012;NA;NA;NA;NA;NA;5936,18135008494;NA;NA;5261,08274701453;NA
"2022-S39";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10468,0050517939;NA;NA;NA;NA;NA;4136,93696215587;NA;NA;NA;NA;NA;5209,49694277707;10028,3514064745;NA;NA;7113,47123998368;NA;NA;10204,7337935355;NA;NA;7839,97326716673;NA;NA;6299,35318485852;5417,6760234353;6230,37127363374;NA;NA;NA;NA;NA;7718,74994149163;NA;NA;7167,89720120501;NA
